Station Name,WMO Station Number,National Station Id Number,Period,Element-Statistic Qualifier Code,Statistic Description,Unit,Jan,Jan Footnotes,Feb,Feb Footnotes,Mar,Mar Footnotes,Apr,Apr Footnotes,May,May Footnotes,Jun,Jun Footnotes,Jul,Jul Footnotes,Aug,Aug Footnotes,Sep,Sep Footnotes,Oct,Oct Footnotes,Nov,Nov Footnotes,Dec,Dec Footnotes,Annual,Annual Footnotes,Annual NCDC Computed Value,Annual NCDC Computed Value Footnotes
Fasa,13830,28967,53683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferdous,12930,34017,58167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gach saran(private),7380,30350,50817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gharakhil,140,36450,52817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghasre-shirin,3780,34517,45583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghazvin,12780,36250,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghuchan,12870,36850,54267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorgan,1550,36817,54467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamedan,17490,34850,48533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilam,13630,33633,46417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iranshahr,5910,27200,60700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jask,40,25650,57767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kashan,9820,33983,51450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kashmar,10600,35200,58467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerman,17540,30250,56967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermanshah/baktaran,13220,34267,47117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kharg island,30,29267,50267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khor,9210,33783,55083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khorram abad,11250,33500,48300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khoy,11070,38550,44967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kish island,300,26500,53983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konarak,100,25433,60367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makko,14700,39333,44433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maragheh,14760,37400,46267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maraveh-tappeh,-99999,37900,55950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mashhad (afb/civ),9800,36267,59633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masjed-soleyman,3720,31983,49267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohabad,13850,36767,45717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nehbandan,12110,31533,60033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noshahr,-200,36500,51583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nowjeh,16790,35200,48683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omidieh,190,30767,49650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orumieh,13120,37533,45083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pars abad moghan,450,39650,47917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramsar,-200,36900,50667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasht,-70,37250,49600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabzevar,9410,36217,57667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Safiabad dezful,820,32267,48433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saghez,14930,36250,46267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanandaj,13730,35333,47000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarab,15000,37933,47533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarakhs,2360,36550,61167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saravan,11950,27333,62333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semnan,11710,35550,53383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shahre-kord,20780,32317,50850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shahrud,13450,36417,55033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiraz (civ/afb),14910,29533,52583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siri island,170,25883,54483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sirjan,17390,29467,55717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabas,7110,33600,56917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabriz(iran-ab/civ),13610,38083,46283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tehran/mehrabad afb,11910,35683,51350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torbat-heydarieh,13330,35267,59217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yasoge,18800,30833,51683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yazd,12300,31900,54400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zabol,4890,31333,61483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zahedan intl arpt,13700,29467,60883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zanjan,16630,36683,48483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
